order,title,link0,link1,link2,link3,link4,link5
1A,Welcome,https://www.github.com/utkarsh1504/DSA-Java,https://www.youtube.com/playlist?list=PL9gnSGHSqcnr_DxHsP7AW9ftq0AtAyYqJ,https://twitter.com/kunalstwt,https://www.youtube.com/playlist?list=PL9gnSGHSqcnr_DxHsP7AW9ftq0AtAyYqJ,https://twitter.com/holtbt,https://frontendmasters.com/teachers/brian-holt/
1B,Intro to Programming,,,,,,
2A,Flowchart & Pseudocode,,,,,,
2B,Java Development Setup,https://www.oracle.com/java/technologies/javase-jdk16-downloads.html,https://www.oracle.com/java/technologies/javase/javase-jdk8-downloads.html,https://www.jetbrains.com/idea/,https://www.eclipse.org/downloads/,https://netbeans.apache.org/download/nb120/nb120.html,
2C,First Java Program,,,,,,
3A,Learn Data Types,,,,,,
3B,Operators in Java,,,,,,
3C,Input/Output & Conditionals,,,,,,
3D,Loops In Java,,,,,,
3E,Jumps Statements,,,,,,
3F,Function & Scope,,,,,,
4A,Introduction to Arrays,https://github.com/shoebxsiddiqui/DSA-Java/blob/shoebxsiddiqui-Arrays/lessons/images/Array%20Indicing.png,https://github.com/shoebxsiddiqui/DSA-Java/blob/shoebxsiddiqui-Arrays/lessons/images/One%20Dimensional%20Array.jpeg,https://github.com/shoebxsiddiqui/DSA-Java/blob/shoebxsiddiqui-Arrays/lessons/images/Two%20Dimensional%20Array.jpeg,,,
4B,ArrayList In Java,,,,,,
4C,Printing Patterns,,,,,,
4D,Boyer-Moore Majority Voting Algorithm,,,,,,
4E,Subarrays,,,,,,
4F,Jagged Arrays,,,,,,
5A,Linear Search,,,,,,
5B,Binary Search,,,,,,
5C,Bubble Sort,,,,,,
5D,Selection Sort,,,,,,
5E,Insertion Sort,https://www.hackerearth.com/practice/algorithms/sorting/insertion-sort/visualize/,,,,,
5F,Count Sort,,,,,,
5G,Radix Sort,,,,,,
5H,Cyclic Sort,,,,,,
5I,Practise Questions,,,,,,
6A,Intro to Strings,,,,,,
6B,StringBuilder in Java,,,,,,
7A,Complexity Analysis,http://en.wikipedia.org/wiki/Assembly_language,http://www.python.org/,http://www.ruby-lang.org/en/,,,
7B,Time Complexity,,,,,,
7C,Space Complexity,,,,,,
7D,Recurrence Relations,,,,,,
7E,Time Space Tradeoff,,,,,,
8A,Intro to Recursion,,,,,,
8B,Flow of Recursion,,,,,,
8C,Recursion & Array,,,,,,
8D,Recursion & Strings,,,,,,
8E,Merge Sort,,,,,,
8F,Quick Sort,,,,,,
8G,Standard Practise Questions,,,,,,
9A,Introduction to Backtracking,,,,,,
9B,Sudoku Solver,,,,,,
9C,N Queens,,,,,,
9D,N Knights,,,,,,
9E,Maze Problems,,,,,,
10A,Introduction to Maths in DSA,,,,,,
10B,Complete Bitwise Operators,,,,,,
10C,Number Theory Part-A,,,,,,
10D,Number Theory Part-B,,,,,,
10E,Number Theory Part-C,,,,,,
11A,Introduction,,,,,,
11B,this Keyword & Constructor,,,,,,
11C,Properties of OOP,,,,,,
12A,Introduction to Data Structures,,,,,,
12B,Introduction to Linked List,,,,,,
13A,Intro to Stack,,,,,,
14A,Intro to Trees,,,,,,
15A,Intro to Binary Tree,,,,,,
16A,Intro to BST,https://www.cs.usfca.edu/~galles/visualization/BST.html,,,,,
17A,Introduction to Heaps,,,,,,
18A,Introduction to Hashmap,,,,,,
19A,Introduction to DP,,,,,,
20A,Introduction to Greedy Algorithms,,,,,,
21A,Introduction to Priority Queues,,,,,,
22A,Introduction to Graphs,,,,,,
23A,Introduction to Tries,,,,,,
24A,Assignments,https://github.com/utkarsh1504/leetcode-solutions,https://leetcode.com/problems/two-sum/,,,,
